Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
Q75EB8	reviewed	UBC2_EREGS	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	UBC2 AAR156C	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	170		10.1126/science.1095781; 10.1534/g3.112.002881	5.0	ATP-binding;Chromatin regulator;Cytoplasm;DNA damage;DNA repair;Nucleotide-binding;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation;Transferase;Ubl conjugation pathway	KW-0067; KW-0156; KW-0963; KW-0227; KW-0234; KW-0547; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805; KW-0808; KW-0833	PF00179;	cd00195;	IPR050113;IPR000608;IPR023313;IPR016135;		Ubiquitin-conjugating enzyme family	PTHR24067;	ago:AGOS_AAR156C;			cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA repair [GO:0006281]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; HULC complex [GO:0033503]; MUB1-RAD6-UBR2 ubiquitin ligase complex [GO:1990304]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]; RAD6-UBR2 ubiquitin ligase complex [GO:1990305]; UBR1-RAD6 ubiquitin ligase complex [GO:1990303]; ATP binding [GO:0005524]; proteasome binding [GO:0070628]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; ubiquitin conjugating enzyme activity [GO:0061631]; cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA repair [GO:0006281]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	4618613;
Q7AKG8	reviewed	RSRA_STRCO	Anti-sigma factor RsrA (Regulator of SigR) (Sigma-R anti-sigma factor RsrA)	rsrA SCO5217	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	105		10.1093/emboj/18.15.4292; 10.1038/417141a; 10.1046/j.1365-2958.2001.02298.x; 10.1016/s0022-2836(02)00948-8; 10.1016/j.jmb.2003.08.038; 10.1021/bi060711v; 10.1111/j.1365-2958.2008.06191.x; 10.1093/nar/gkr477	5.0	3D-structure;Disulfide bond;Metal-binding;Redox-active center;Reference proteome;Sporulation;Transcription;Transcription regulation;Zinc	KW-0002; KW-1015; KW-0479; KW-0676; KW-1185; KW-0749; KW-0804; KW-0805; KW-0862	PF13490;		IPR024020;IPR027383;	TIGR03988;	Zinc-associated anti-sigma factor (ZAS) superfamily					detection of redox state [GO:0051776]; response to redox state [GO:0051775]; sporulation [GO:0043934]; sporulation resulting in formation of a cellular spore [GO:0030435]	sigma factor antagonist activity [GO:0016989]; zinc ion binding [GO:0008270]; detection of redox state [GO:0051776]; response to redox state [GO:0051775]; sporulation [GO:0043934]; sporulation resulting in formation of a cellular spore [GO:0030435]	91383808;
Q7AKI9	reviewed	WHID_STRCO	Transcriptional regulator WhiD (Transcriptional regulator WhiB3)	whiD wblB whiB3 SCO4767	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	112		10.1099/00221287-146-2-333; 10.1046/j.1365-2958.2000.01977.x; 10.1038/417141a; 10.1128/jb.182.5.1286-1295.2000; 10.1074/jbc.m412622200; 10.1021/bi901498v; 10.1021/ja109581t	5.0	4Fe-4S;Cytoplasm;Disulfide bond;DNA-binding;Iron;Iron-sulfur;Metal-binding;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0004; KW-0963; KW-1015; KW-0238; KW-0408; KW-0411; KW-0479; KW-1185; KW-0749; KW-0804; KW-0805	PF02467;		IPR034768;IPR003482;		WhiB family	PTHR38839:SF5;PTHR38839;				cell redox homeostasis [GO:0045454]; negative regulation of DNA-templated transcription [GO:0045892]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; dinitrosyl-iron complex binding [GO:0035731]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein-disulfide reductase (NAD(P)H) activity [GO:0047134]; cell redox homeostasis [GO:0045454]; negative regulation of DNA-templated transcription [GO:0045892]; sporulation resulting in formation of a cellular spore [GO:0030435]	91384271;
Q81X77	reviewed	GPMI_BACAN	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	gpmI gpmA BA_5365 GBAA_5365 BAS4986	Bacillus anthracis	509		10.1038/nature01586; 10.1128/jb.01347-08; 10.1529/biophysj.106.093872	5.0	3D-structure;Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Reference proteome;Sporulation	KW-0002; KW-0324; KW-0413; KW-0464; KW-0479; KW-0597; KW-1185; KW-0749	PF06415;PF01676;	cd16010;	IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;	TIGR01307;	BPG-independent phosphoglycerate mutase family	PTHR31637;PTHR31637:SF0;	ban:BA_5365;bar:GBAA_5365;bat:BAS4986;			glucose catabolic process [GO:0006007]; glycolytic process [GO:0006096]; regulation of sporulation [GO:0043937]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytosol [GO:0005829]; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity [GO:0046537]; manganese ion binding [GO:0030145]; glucose catabolic process [GO:0006007]; glycolytic process [GO:0006096]; regulation of sporulation [GO:0043937]; sporulation resulting in formation of a cellular spore [GO:0030435]	45024968;
Q8T638	reviewed	DMTA_DICDI	Des-methyl DIF-1 methyltransferase A (EC 2.1.1.-) (O-methyltransferase 8)	dmtA omt8 DDB_G0289329	Dictyostelium discoideum (Social amoeba)	363		10.1016/s1097-2765(00)00147-7; 10.1038/nature03481; 10.1074/jbc.273.5.2669; 10.1242/dev.128.24.4959; 10.1038/nchembio811; 10.1073/pnas.1001681107	5.0	Differentiation;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Sporulation;Transferase	KW-0221; KW-0489; KW-1185; KW-0949; KW-0749; KW-0808	PF16864;PF00891;		IPR031725;IPR016461;IPR001077;IPR029063;IPR036388;IPR036390;		Class I-like SAM-binding methyltransferase superfamily, Cation-independent O-methyltransferase family, COMT subfamily	PTHR43712:SF2;PTHR43712;	ddi:DDB_G0289329;			biosynthetic process [GO:0009058]; culmination involved in sorocarp development [GO:0031154]; DIF-1 biosynthetic process [GO:0031148]; methylation [GO:0032259]; programmed cell death involved in cell development [GO:0010623]; regulation of cell differentiation [GO:0045595]; sorocarp morphogenesis [GO:0031288]; sorocarp stalk cell differentiation [GO:0031149]; sporulation resulting in formation of a cellular spore [GO:0030435]	3,5-dichloro-THPH methyl transferase activity [GO:0106268]; O-methyltransferase activity [GO:0008171]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; biosynthetic process [GO:0009058]; culmination involved in sorocarp development [GO:0031154]; DIF-1 biosynthetic process [GO:0031148]; methylation [GO:0032259]; programmed cell death involved in cell development [GO:0010623]; regulation of cell differentiation [GO:0045595]; sorocarp morphogenesis [GO:0031288]; sorocarp stalk cell differentiation [GO:0031149]; sporulation resulting in formation of a cellular spore [GO:0030435]	8627100;
Q9C0U7	reviewed	VPS5_SCHPO	Vacuolar protein sorting-associated protein vps5	vps5 SPCPJ732.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	576		10.1038/nature724; 10.1111/j.1356-9597.2004.00744.x; 10.1099/mic.0.28627-0; 10.1038/nbt1222; 10.1021/pr7006335	5.0	Cytoplasm;Golgi apparatus;Membrane;Phosphoprotein;Protein transport;Reference proteome;Sporulation;Transport	KW-0963; KW-0333; KW-0472; KW-0597; KW-0653; KW-1185; KW-0749; KW-0813	PF00787;PF09325;	cd07627;cd06861;	IPR027267;IPR035803;IPR001683;IPR036871;IPR037868;IPR015404;		Sorting nexin family	PTHR10555:SF170;PTHR10555;	spo:2539552;			ascospore-type prospore membrane formation [GO:0032120]; intracellular protein transport [GO:0006886]; protein retention in Golgi apparatus [GO:0045053]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle-mediated transport [GO:0016192]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; prospore membrane [GO:0005628]; retromer complex [GO:0030904]; phosphatidylinositol binding [GO:0035091]; ascospore-type prospore membrane formation [GO:0032120]; intracellular protein transport [GO:0006886]; protein retention in Golgi apparatus [GO:0045053]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle-mediated transport [GO:0016192]	2539552;
Q9L268	reviewed	SSGB_STRCO	Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)	ssgB SCO1541	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	137		10.1074/jbc.m109.018564; 10.1038/417141a; 10.1007/s00438-002-0687-0; 10.1007/s00203-003-0603-y; 10.1016/s0378-1097(03)00481-6; 10.1111/j.1365-2958.2005.04883.x; 10.1111/j.1365-2958.2010.07338.x; 10.1101/gad.600211; 10.1007/s10482-011-9678-7; 10.1007/s10482-015-0479-2	5.0	Cell cycle;Cell division;Reference proteome;Septation;Sporulation	KW-0131; KW-0132; KW-1185; KW-0717; KW-0749	PF04686;		IPR006776;IPR038658;		SsgA family					actinorhodin biosynthetic process [GO:1901112]; asexual sporulation resulting in formation of a cellular spore [GO:0043936]; cell division [GO:0051301]; cell septum assembly [GO:0090529]; cellular response to salt [GO:1902075]; division septum assembly [GO:0000917]; hyphal growth [GO:0030448]; positive regulation of cell division [GO:0051781]; spore wall assembly [GO:0042244]; spore wall biogenesis [GO:0070590]; sporulation [GO:0043934]	cell septum [GO:0030428]; divisome complex [GO:1990586]; spore wall [GO:0031160]; actinorhodin biosynthetic process [GO:1901112]; asexual sporulation resulting in formation of a cellular spore [GO:0043936]; cell division [GO:0051301]; cell septum assembly [GO:0090529]; cellular response to salt [GO:1902075]; division septum assembly [GO:0000917]; hyphal growth [GO:0030448]; positive regulation of cell division [GO:0051781]; spore wall assembly [GO:0042244]; spore wall biogenesis [GO:0070590]; sporulation [GO:0043934]	95798301;
Q9NAX4	reviewed	SP65_DICDI	Spore coat protein SP65 (Spore coat protein E)	cotE SP65 DDB_G0277903	Dictyostelium discoideum (Social amoeba)	464	P54704	10.1128/ec.00329-06; 10.1038/nature03481; 10.1242/jcs.112.23.4367	5.0	Direct protein sequencing;Glycoprotein;Reference proteome;Repeat;Signal;Sporulation	KW-0903; KW-0325; KW-1185; KW-0677; KW-0732; KW-0749			IPR003645;IPR053121;			PTHR35365;PTHR35365:SF18;	ddi:DDB_G0277903;			spore wall assembly [GO:0042244]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasmic vesicle [GO:0031410]; spore wall [GO:0031160]; structural constituent of cell wall [GO:0005199]; spore wall assembly [GO:0042244]; sporulation resulting in formation of a cellular spore [GO:0030435]	8621393;
Q9P6N1	reviewed	MG179_SCHPO	Autophagy-related protein 21 (Meiotically up-regulated gene 179 protein)	mug179 atg18b SPAC823.16c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	335		10.1038/nature724; 10.1016/j.cub.2005.10.038; 10.1038/nbt1222; 10.1371/journal.pgen.1003715	5.0	Autophagy;Cytoplasm;Golgi apparatus;Membrane;Protein transport;Reference proteome;Repeat;Sporulation;Transport;Vacuole;WD repeat	KW-0072; KW-0963; KW-0333; KW-0472; KW-0653; KW-1185; KW-0677; KW-0749; KW-0813; KW-0926; KW-0853	PF21032;		IPR048720;IPR015943;IPR036322;IPR001680;		WD repeat PROPPIN family	PTHR11227;	spo:2543297;			autophagy of mitochondrion [GO:0000422]; glycophagy [GO:0061723]; macroautophagy [GO:0016236]; nucleophagy [GO:0044804]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytosol [GO:0005829]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; autophagy of mitochondrion [GO:0000422]; glycophagy [GO:0061723]; macroautophagy [GO:0016236]; nucleophagy [GO:0044804]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]	2543297;
Q9UQY9	reviewed	SPO4_SCHPO	Cell cycle protein kinase spo4 (EC 2.7.11.1) (Sporulation-specific protein 4)	spo4 SPBC21C3.18	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	429		10.1128/mcb.22.1.309-320.2002; 10.1038/nature724	5.0	ATP-binding;Cell cycle;Cell division;Kinase;Meiosis;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0131; KW-0132; KW-0418; KW-0469; KW-0547; KW-0539; KW-0597; KW-1185; KW-0723; KW-0749; KW-0808	PF00069;	cd14019;	IPR011009;IPR000719;		Protein kinase superfamily, Ser/Thr protein kinase family, CDC7 subfamily	PTHR44167:SF23;PTHR44167;	spo:2540745;			ascospore-type prospore-specific spindle pole body remodeling [GO:0031322]; cell division [GO:0051301]; meiosis II [GO:0007135]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; ascospore-type prospore-specific spindle pole body remodeling [GO:0031322]; cell division [GO:0051301]; meiosis II [GO:0007135]; signal transduction [GO:0007165]	2540745;
Q9WX11	reviewed	BLDN_STRCO	ECF RNA polymerase sigma factor BldN (Sigma BldN) (Alternative RNA polymerase sigma factor BldN)	bldN whiN SCO3323 SCE68.21	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	264		10.1128/jb.182.16.4606-4616.2000; 10.1038/417141a; 10.1046/j.1365-2958.2001.02387.x; 10.1128/jb.185.7.2338-2345.2003; 10.1101/gad.264403	5.0	Reference proteome;Sigma factor;Sporulation;Transcription;Transcription regulation	KW-1185; KW-0731; KW-0749; KW-0804; KW-0805	PF04542;PF08281;	cd06171;	IPR014298;IPR039425;IPR014284;IPR007627;IPR013249;IPR013325;IPR013324;IPR036388;	TIGR02952;TIGR02937;	Sigma-70 factor family, ECF subfamily	PTHR43133;PTHR43133:SF57;				DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355]; sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355]; sporulation resulting in formation of a cellular spore [GO:0030435]	91385638;
